name,position,adp,key,pred_2026,pred_vorp,adp_rank,model_rank,value_gap,round
Jahmyr Gibbs,RB,1.7,jahmyr gibbs,172.96518,33.08058,1.0,47.0,-46.0,1
Bijan Robinson,RB,1.9,bijan robinson,243.46648,103.58188,2.0,7.0,-5.0,1
Puka Nacua,WR,2.8,puka nacua,279.54648,141.01071,3.0,2.0,1.0,1
Ja'Marr Chase,WR,4.2,jamarr chase,214.16513,75.629364,4.0,19.0,-15.0,1
Christian McCaffrey,RB,4.7,christian mccaffrey,228.26196,88.377365,5.0,10.0,-5.0,1
Jaxon Smith-Njigba,WR,6.3,jaxon smithnjigba,293.30835,154.77258,6.0,1.0,5.0,1
Jonathan Taylor,RB,6.9,jonathan taylor,225.06285,85.17825,7.0,12.0,-5.0,1
Amon-Ra St. Brown,WR,7.7,amonra st brown,258.59253,120.05676,8.0,5.0,3.0,1
De'Von Achane,RB,9.5,devon achane,265.3778,125.49321,9.0,3.0,6.0,1
Drake London,WR,11.2,drake london,221.52803,82.99226,10.0,15.0,-5.0,1
CeeDee Lamb,WR,11.6,ceedee lamb,223.2938,84.758026,11.0,13.0,-2.0,1
Ashton Jeanty,RB,11.9,ashton jeanty,181.83171,41.947113,12.0,38.0,-26.0,1
Justin Jefferson,WR,12.6,justin jefferson,224.51143,85.97566,13.0,11.0,2.0,1
James Cook III,RB,12.9,james cook,250.20425,110.31966,14.0,6.0,8.0,1
Derrick Henry,RB,15.3,derrick henry,224.08824,84.20364,15.0,14.0,1.0,2
A.J. Brown,WR,15.7,aj brown,178.3709,39.83513,16.0,39.0,-23.0,2
Chase Brown,RB,15.9,chase brown,209.65868,69.77408,17.0,20.0,-3.0,2
Saquon Barkley,RB,17.8,saquon barkley,219.13586,79.25127,18.0,18.0,0.0,2
Omarion Hampton,RB,18.1,omarion hampton,163.26468,23.380081,19.0,50.0,-31.0,2
George Pickens,WR,21.0,george pickens,220.01831,81.482544,20.0,16.0,4.0,2
Kenneth Walker III,RB,22.7,kenneth walker,161.98561,22.101013,21.0,51.0,-30.0,2
Chris Olave,WR,23.6,chris olave,186.38475,47.848984,22.0,29.0,-7.0,2
Rashee Rice,WR,23.8,rashee rice,198.73647,60.2007,23.0,24.0,-1.0,2
Nico Collins,WR,24.3,nico collins,202.53609,64.00032,24.0,22.0,2.0,2
Josh Jacobs,RB,25.9,josh jacobs,261.5267,121.642105,25.0,4.0,21.0,3
Josh Allen,QB,27.5,josh allen,296.7823,58.79448,26.0,26.0,0.0,3
Garrett Wilson,WR,27.8,garrett wilson,135.47539,-3.060379,27.0,96.0,-69.0,3
Breece Hall,RB,28.4,breece hall,151.30193,11.417328,28.5,67.0,-38.5,3
Zay Flowers,WR,28.4,zay flowers,198.2642,59.72844,28.5,25.0,3.5,3
DeVonta Smith,WR,28.5,devonta smith,159.40779,20.872025,30.0,52.0,-22.0,3
Trey McBride,TE,31.5,trey mcbride,226.06306,102.56818,31.0,8.0,23.0,3
Tetairoa McMillan,WR,33.0,tetairoa mcmillan,184.19733,45.66156,32.5,31.0,1.5,3
Javonte Williams,RB,33.0,javonte williams,169.37401,29.48941,32.5,48.0,-15.5,3
Kyren Williams,RB,33.1,kyren williams,239.46909,99.58449,34.0,9.0,25.0,3
Tee Higgins,WR,33.3,tee higgins,218.91536,80.37959,35.0,17.0,18.0,3
Brock Bowers,TE,36.7,brock bowers,181.617,58.122116,36.0,27.0,9.0,3
Cam Skattebo,RB,36.8,cam skattebo,151.9589,12.074295,37.0,66.0,-29.0,3
Ladd McConkey,WR,38.1,ladd mcconkey,153.6437,15.107941,38.0,62.0,-24.0,4
Travis Etienne Jr.,RB,38.6,travis etienne,173.87059,33.985992,39.0,46.0,-7.0,4
Terry McLaurin,WR,39.3,terry mclaurin,114.83903,-23.69674,40.0,115.0,-75.0,4
Davante Adams,WR,42.1,davante adams,184.01918,45.483414,41.0,32.0,9.0,4
Emeka Egbuka,WR,42.2,emeka egbuka,174.52579,35.99002,42.0,44.0,-2.0,4
Jaylen Waddle,WR,43.5,jaylen waddle,158.03578,19.500015,43.0,53.0,-10.0,4
Bucky Irving,RB,44.7,bucky irving,152.17436,12.289764,44.0,65.0,-21.0,4
D'Andre Swift,RB,46.1,dandre swift,158.18379,18.299194,45.0,57.0,-12.0,4
Quinshon Judkins,RB,47.7,quinshon judkins,148.73936,8.854767,46.0,71.0,-25.0,4
Malik Nabers,WR,48.0,malik nabers,177.34369,38.807922,47.0,40.0,7.0,4
Colston Loveland,TE,49.3,colston loveland,137.80862,14.313736,48.0,63.0,-15.0,5
Jameson Williams,WR,49.8,jameson williams,188.68083,50.145065,49.0,28.0,21.0,5
Joe Burrow,QB,50.0,joe burrow,307.0265,69.03868,50.0,21.0,29.0,5
