overall_rank,name,position,team,projected_points,vorp,adp,adp_rank,value_gap,tier,risk_flag
1,Puka Nacua,WR,LA,289.4,138.8,2.8,3.0,2.0,1,False
2,Bijan Robinson,RB,ATL,278.3,131.3,1.9,2.0,0.0,1,False
3,Ja'Marr Chase,WR,CIN,269.7,119.0,4.2,4.0,1.0,2,False
4,Jaxon Smith-Njigba,WR,SEA,268.8,118.1,6.3,6.0,2.0,2,False
5,Amon-Ra St. Brown,WR,DET,263.7,113.1,7.7,8.0,3.0,2,False
6,Trey McBride,TE,ARI,235.0,109.9,31.5,31.0,25.0,1,False
7,Jahmyr Gibbs,RB,DET,253.9,106.9,1.7,1.0,-6.0,2,False
8,Christian McCaffrey,RB,SF,251.5,104.4,4.7,5.0,-3.0,2,False
9,De'Von Achane,RB,MIA,245.2,98.1,9.5,9.0,0.0,2,False
10,Jonathan Taylor,RB,IND,233.8,86.8,6.9,7.0,-3.0,3,False
11,Drake London,WR,ATL,235.7,85.0,11.2,10.0,-1.0,3,False
12,James Cook,RB,BUF,221.5,74.4,12.9,14.0,2.0,4,False
13,Rashee Rice,WR,KC,219.0,68.3,23.8,23.0,10.0,4,False
14,Joe Burrow,QB,CIN,356.8,67.0,50.0,50.0,36.0,1,True
15,Harold Fannin Jr.,TE,CLE,190.9,65.8,70.4,69.0,54.0,2,False
16,George Pickens,WR,DAL,210.9,60.3,21.0,20.0,4.0,4,False
17,Tyler Warren,TE,IND,183.4,58.3,57.6,57.0,40.0,2,False
18,Ashton Jeanty,RB,LV,204.6,57.5,11.9,12.0,-6.0,5,False
19,Chris Olave,WR,NO,208.1,57.4,23.6,22.0,3.0,4,False
20,Justin Jefferson,WR,MIN,206.3,55.6,12.6,13.0,-7.0,4,False
21,Nico Collins,WR,HOU,204.0,53.4,24.3,24.0,3.0,4,False
22,CeeDee Lamb,WR,DAL,203.7,53.0,11.6,11.0,-11.0,4,False
23,Zay Flowers,WR,BAL,202.8,52.1,28.4,29.0,6.0,4,False
24,Jared Goff,QB,DET,341.9,52.0,101.4,100.0,76.0,2,False
25,Tetairoa McMillan,WR,CAR,201.4,50.7,33.0,32.0,7.0,4,False
26,Derrick Henry,RB,BAL,196.8,49.7,15.3,15.0,-11.0,5,False
27,Chase Brown,RB,CIN,196.5,49.4,15.9,17.0,-10.0,5,False
28,Brock Bowers,TE,LV,172.7,47.6,36.7,36.0,8.0,2,False
29,Lamar Jackson,QB,BAL,337.1,47.3,53.8,53.0,24.0,2,False
